-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::arange         0.00%     118.140us         0.00%     246.750us      20.562us       0.000us         0.00%       0.000us       0.000us            12  
                                              aten::mul         0.00%       1.017ms         0.00%       6.401ms      74.429us       6.217ms         0.52%       6.217ms      72.290us            86  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.036ms         0.43%       5.036ms     629.472us             8  
                                              aten::sum         0.00%       5.800ms         0.01%      19.279ms      63.004us      24.270ms         2.05%      28.031ms      91.604us           306  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      21.399ms         1.81%      21.399ms     209.792us           102  
                                              aten::div         0.00%       1.023ms         0.00%       6.900ms      80.228us     130.268us         0.01%     130.268us       1.515us            86  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.160us         0.00%      12.160us       1.013us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.136us         0.00%      11.136us       0.928us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.448us         0.00%      20.448us       1.022us            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 238.211s
Self CUDA time total: 1.185s
